1	4
1	2
1	3
2	3
2	4
3	4
4	5
4	6
4	7
5	6
5	7
6	7
7	8
7	9
7	10
7	11
7	12
7	13
7	14
7	15
7	16
7	17
7	18
7	19
7	20
7	21
7	22
7	23
7	24
8	9
8	10
11	13
14	17
17	18
17	22
19	21
20	21
20	23
20	24
21	22
21	23
21	24
21	26
21	27
22	24
22	25
22	26
22	27
23	24
24	27
26	27
27	28
27	29
27	30
28	29
30	31
30	32
30	33
30	34
30	35
31	33
32	33
33	39
33	40
33	42
34	35
35	37
35	38
36	59
39	40
39	42
40	41
40	42
42	43
42	44
42	45
42	46
42	47
42	48
42	50
42	51
42	56
42	57
42	60
42	61
42	62
42	63
42	64
42	65
42	66
42	67
44	45
46	47
48	49
50	51
50	52
50	53
50	54
50	55
52	54
53	55
56	57
57	58
58	60
58	61
59	69
60	61
60	62
60	64
61	63
61	64
63	64
65	66
65	67
65	68
65	69
65	70
65	71
65	72
65	73
65	74
65	75
65	78
66	70
66	71
67	68
68	69
70	71
75	76
75	77
76	77
78	79
78	80
78	81
78	82
78	84
78	85
78	86
78	87
78	88
78	89
78	90
78	91
78	92
78	93
78	94
78	95
78	96
78	97
78	98
78	99
78	100
78	101
78	102
78	103
78	104
78	105
78	106
82	83
83	102
85	86
87	88"
89	90"
91	92
92	93
95	99
95	100
95	101
99	100
100	101
102	103
102	104
102	105
102	107
102	108
103	104
103	105
104	105
104	106
105	109
105	110
105	111
105	112
109	110
109	111
109	113
109	114
109	115
109	116
110	111
111	117
111	118
113	114
114	115
114	116
115	116
117	118
